1036,"住田 ",4111
1037,"二瓶 ",4111
1038,"柿崎 ",4109
1039,"我妻 ",4102
1040,"野尻 ",4100
1041,"塩崎 ",4089
1042,"藤谷 ",4084
1043,"坂 ",4077
1044,"沢 ",4073
1045,"河口 ",4072
1046,"安原 ",4067
1047,"江頭 ",4062
1048,"粕谷 ",4056
1049,"安東 ",4052
1050,"上岡 ",4051
1051,"栗本 ",4048
1052,"対馬 ",4043
1053,"東野 ",4040
1054,"高坂 ",4034
1055,"小山田 ",4031
1056,"金 ",4027
1057,"迫田 ",4026
1058,"湯川 ",4021
1059,"小俣 ",4019
1060,"船越 ",4017
1061,"加瀬 ",4013
1062,"大宮 ",4011
1063,"平本 ",4006
1064,"真野 ",4006
1065,"熊沢 ",4002
1066,"花井 ",3999
1067,"江田 ",3993
1068,"津村 ",3992
1069,"新川 ",3987
1070,"赤井 ",3982
1071,"金野 ",3980
1072,"坪田 ",3979
1073,"仲野 ",3978
1074,"伏見 ",3977
1075,"室井 ",3970
1076,"中森 ",3966
1077,"田沢 ",3965
1078,"相良 ",3962
1079,"山脇 ",3954
1080,"梅木 ",3952
1081,"矢吹 ",3951
1082,"郡司 ",3951
1083,"垣内 ",3950
1084,"水本 ",3949
1085,"船木 ",3943
1086,"神保 ",3938
1087,"小暮 ",3928
1088,"塚越 ",3928
1089,"矢崎 ",3926
1090,"森島 ",3926
1091,"益子 ",3925
1092,"谷内 ",3920
1093,"保田 ",3917
1094,"渥美 ",3902
1095,"増子 ",3902
1096,"金原 ",3896
1097,"森崎 ",3895
1098,"加賀 ",3893
1099,"東山 ",3873
1100,"増山 ",3872
1101,"関本 ",3867
1102,"井沢 ",3867
1103,"鮫島 ",3864
1104,"棚橋 ",3859
1105,"福元 ",3857
1106,"南雲 ",3843
1107,"松林 ",3841
1108,"沢村 ",3839
1109,"塩沢 ",3834
1110,"鳴海 ",3828
1111,"住吉 ",3826
1112,"河井 ",3824
1113,"赤塚 ",3820
1114,"久田 ",3819
1115,"高津 ",3810
1116,"稲村 ",3808
1117,"福沢 ",3808
1118,"高沢 ",3807
1119,"片野 ",3806
1120,"大坂 ",3803
1121,"唐沢 ",3797
1122,"谷田 ",3797
1123,"下野 ",3795
1124,"梶 ",3793
1125,"村越 ",3792
1126,"中道 ",3787
1127,"吉見 ",3787
1128,"小竹 ",3780
1129,"長山 ",3779
1130,"柿本 ",3767
1131,"榊 ",3758
1132,"大河原 ",3754
1133,"金澤 ",3748
1134,"梶山 ",3748
1135,"小山内 ",3736
1136,"藤巻 ",3736
1137,"大岩 ",3734
1138,"畑山 ",3731
1139,"堺 ",3725
1140,"杉崎 ",3725
1141,"薄井 ",3720
1142,"湯本 ",3716
1143,"玉川 ",3715
1144,"小橋 ",3712
1145,"八巻 ",3706
1146,"須永 ",3702
1147,"神 ",3700
1148,"川内 ",3698
1149,"高森 ",3695
1150,"緑川 ",3692
1151,"桑野 ",3655
1152,"浜中 ",3649
1153,"金本 ",3642
1154,"二村 ",3642
1155,"宇田 ",3638
1156,"八幡 ",3637
1157,"芝田 ",3632
1158,"竹林 ",3632
1159,"向山 ",3631
1160,"丸岡 ",3630
1161,"尾関 ",3624
1162,"永瀬 ",3621
1163,"小宮山 ",3617
1164,"小田島 ",3612
1165,"高須 ",3610
1166,"島本 ",3606
1167,"米谷 ",3605
1168,"矢沢 ",3600
1169,"西崎 ",3594
1170,"下地 ",3591
1171,"長屋 ",3586
1172,"芝 ",3574
1173,"村本 ",3574
1174,"人見 ",3573
1175,"高本 ",3562
1176,"牛島 ",3559
1177,"山谷 ",3558
1178,"衛藤 ",3558
1179,"吉武 ",3557
1180,"磯貝 ",3556
1181,"篠塚 ",3552
1182,"大迫 ",3551
1183,"袴田 ",3550
1184,"安西 ",3540
